,job title,company,location,country,job_type_list,workplace,career_level,url
366,Junior Procurement Analyst,Decorative Glass And Arab Union Glass Group,Obour City Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/NxXUk1OkcLBY-Junior-Procurement-Analyst-Decorative-Glass-And-Arab-Union-Glass-Group-Cairo-Egypt
367,Customer Support Representative [b1+ English speakers] Etisalat UAE,Etisalat Egypt,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/jFfYD7BWDH1b-Customer-Support-Representative-b1-English-speakers-Etisalat-UAE-Etisalat-Egypt-Cairo-Egypt
368,Accountant,Winner International tours,Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/6q8UEAWpVArl-Accountant-Winner-International-tours-Giza-Egypt
369,Spinning Trainer,Wadi Degla Clubs Company,Sheraton Cairo,Egypt,Part Time,On-site,Experienced,https://wuzzuf.net/jobs/p/wKfpwl3N5KOD-Spinning-Trainer-Wadi-Degla-Clubs-Company-Cairo-Egypt
370,Mechanical Maintenance Engineer,Marbella For Food Industry,6th of October Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/SYVsEKuWtVfX-Mechanical-Maintenance-Engineer-Marbella-For-Food-Industry-Giza-Egypt
371,3PL Warehouse Manager - Logistics,Marbella For Food Industry,6th of October Giza,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/3EaJJomSNLIO-3PL-Warehouse-Manager---Logistics-Marbella-For-Food-Industry-Giza-Egypt
372,Talent Acquisition Specialist,Ready Pack Technology,Obour City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Vl1A7XQehtw1-Talent-Acquisition-Specialist-Ready-Pack-Technology-Cairo-Egypt
373,Graphic Designer,Roza carpet,Alexandria,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/3DX2BVYOM08B-Graphic-Designer-Roza-carpet-Alexandria-Egypt
374,Creative Director,Creative Motion,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/BUPAekaJelnE-Creative-Director-Creative-Motion-Cairo-Egypt
375,Senior Payroll & Personnel Specialist,WUZZUF,Maadi Cairo,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/N74Js2Kd2raU-Senior-Payroll-Personnel-Specialist-WUZZUF-Cairo-Egypt
376,Senior Specification Engineer,Terraco Egypt,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/9tsbhx7CSmeS-Senior-Specification-Engineer-Terraco-Egypt-Cairo-Egypt
377,Research And Development Engineer,Tredco,10th of Ramadan City Sharqia,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/AM9uSbHuAPMH-Research-And-Development-Engineer-Tredco-Sharqia-Egypt
378,Projects Sales Engineer,Terraco Egypt,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/rpc4BoE9xKWs-Projects-Sales-Engineer-Terraco-Egypt-Cairo-Egypt
379,Site Engineer - Fire Fighting/Fire Detection - Experienced,PRO-TEC Egypt,Sheraton Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Ke43hXdJMBCS-Site-Engineer---Fire-FightingFire-Detection---Experienced-PRO-TEC-Egypt-Cairo-Egypt
380,Customer Excellence Specialist,Helm Organization,Cairo,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/sFjd5qWxbyrk-Customer-Excellence-Specialist-Helm-Organization-Cairo-Egypt
381,Infection control specialist,Shifa Egypt,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/HBmMCRAnNDoY-Infection-control-specialist-Shifa-Egypt-Cairo-Egypt
382,Quantity Surveying Engineer,AluNile,Mohandessin Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/LCEO3mhGC0OM-Quantity-Surveying-Engineer-AluNile-Giza-Egypt
383,Senior Sales Engineer,Ready Pack Technology,Obour City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/y1fTHlwmUR2G-Senior-Sales-Engineer-Ready-Pack-Technology-Cairo-Egypt
384,Preschool English Teacher- New Cairo,Trillium Preschool,New Cairo Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/3ROcy465eZDn-Preschool-English-Teacher--New-Cairo-Trillium-Preschool-Cairo-Egypt
385,Senior Recruitment Specialist ( Blue Collar ),Ayman Shahin Group,Obour City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/vL1lEENZgSeh-Senior-Recruitment-Specialist-Blue-Collar-Ayman-Shahin-Group-Cairo-Egypt
386,Primary English Teacher - Asten College British School,Balanced Education Company,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/VVPX72ebtzhC-Primary-English-Teacher---Asten-College-British-School-Balanced-Education-Company-Cairo-Egypt
387,Branch Manager,Maxevia Corporate,Nasr City Cairo,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/wjSOQPIojeLh-Branch-Manager-Maxevia-Corporate-Cairo-Egypt
