,job title,company,location,country,job_type_list,workplace,career_level,url
457,Video Editor,Confidential,Cairo,Egypt,Volunteering,Remote,Entry Level,https://wuzzuf.net/jobs/p/USiY3zeuKmPO-Video-Editor-Cairo-Egypt
458,International Sales and CRM Specialist,Finding From Egy,Smouha Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/msZ14QCDXMIR-International-Sales-and-CRM-Specialist-Finding-From-Egy-Alexandria-Egypt
459,HR Specialist,Anjam Al Reyadah Company,Khobar,Saudi Arabia,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/61XUiKeyXqsd-HR-Specialist-Anjam-Al-Reyadah-Company-Khobar-Saudi-Arabia
460,Warehouse Supervisor,Anjam Al Reyadah Company,Khobar,Saudi Arabia,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/vqb4hIA1dN0i-Warehouse-Supervisor-Anjam-Al-Reyadah-Company-Khobar-Saudi-Arabia
461,Female Aviation Ticketing agent,Crew Tours,Heliopolis Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/ake90urHWxEF-Female-Aviation-Ticketing-agent-Crew-Tours-Cairo-Egypt
462,Photographer/Videographer,Real Egypt,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/4FQZ1ws8eCSS-PhotographerVideographer-Real-Egypt-Cairo-Egypt
463,Warehouse Keeper,Bnaia,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/aTnulcwBH5iv-Warehouse-Keeper-Bnaia-Cairo-Egypt
464,Customer Service Agent -Etisalat UAE-Excellent English speakers B1+ & B2,Etisalat Egypt,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/PdqxS9MOjIQ1-Customer-Service-Agent--Etisalat-UAE-Excellent-English-speakers-B1-B2-Etisalat-Egypt-Cairo-Egypt
465,Quality Control Specialist,Apex Furniture,Abbassia Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Vy9Ghflo2zmo-Quality-Control-Specialist-Apex-Furniture-Cairo-Egypt
466,Senior Sales Representative,Apex Furniture,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/iygE5tmlZa4y-Senior-Sales-Representative-Apex-Furniture-Cairo-Egypt
467,Sales and Marketing Specialist,Masar Scientific,Cairo,Egypt,Part Time,Remote,Entry Level,https://wuzzuf.net/jobs/p/5iYUkprfC9oM-Sales-and-Marketing-Specialist-Masar-Scientific-Cairo-Egypt
468,Excellent English speakers (Etisalat UAE) Customer service,Etisalat Egypt,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/A9N3Y7PZYOPC-Excellent-English-speakers-Etisalat-UAE-Customer-service-Etisalat-Egypt-Cairo-Egypt
469,HR Administrator,Confidential,Heliopolis Cairo,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/Ot1Q7xckBYIu-HR-Administrator-Cairo-Egypt
470,VOIS - UK Account - Alex Residents - Customer Care Specialist - Hybrid Job - Grads ONLY,_VOIS Egypt,Alexandria,Egypt,Full Time,Hybrid,Entry Level,https://wuzzuf.net/jobs/p/CEq0Pnss16Ra-VOIS---UK-Account---Alex-Residents---Customer-Care-Specialist---Hybrid-Job---Grads-ONLY-VOIS-Egypt-Alexandria-Egypt
471,Store Keeper,GROOVY Medical Spa,Heliopolis Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/149lP34urIKF-Store-Keeper-GROOVY-Medical-Spa-Cairo-Egypt
472,VOIS - UK Account - Cairo Residents - Customer Care Specialist - Hybrid Job - Grads ONLY,_VOIS Egypt,Cairo,Egypt,Full Time,Hybrid,Entry Level,https://wuzzuf.net/jobs/p/UEiaaf0kOqmW-VOIS---UK-Account---Cairo-Residents---Customer-Care-Specialist---Hybrid-Job---Grads-ONLY-VOIS-Egypt-Cairo-Egypt
473,Human Resources Generalist ( Exp within the Gulf area ) based in Cairo,BTC-Egypt Gold,Heliopolis Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/TjNoLw52O2GG-Human-Resources-Generalist-Exp-within-the-Gulf-area-based-in-Cairo-BTC-Egypt-Gold-Cairo-Egypt
474,Customer Service Representative - English Account (B2B),Etisalat Egypt,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/0GDSQbuKWP6z-Customer-Service-Representative---English-Account-B2B-Etisalat-Egypt-Cairo-Egypt
475,Sales Executive,KAPHR,Cairo,Egypt,Full Time,Remote,Experienced,https://wuzzuf.net/jobs/p/xJKH7KBOZbit-Sales-Executive-KAPHR-Cairo-Egypt
476,SMB- B2 English Speakers,Etisalat Egypt,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/VgaujFFd8cn5-SMB--B2-English-Speakers-Etisalat-Egypt-Cairo-Egypt
477,B2B Etisalat-UAE,Etisalat Egypt,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/VzE2mrcU0OER-B2B-Etisalat-UAE-Etisalat-Egypt-Cairo-Egypt
478,Senior Business Analyst,Al Ateeq Software,Heliopolis Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/T672z9LYtP3R-Senior-Business-Analyst-Al-Ateeq-Software-Cairo-Egypt
479,Account Manager,Dottopia,Agouza Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/8ZIWORdZHtKO-Account-Manager-Dottopia-Giza-Egypt
480,Business Development Executive,Dottopia,Agouza Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/A1VwUUk31OEz-Business-Development-Executive-Dottopia-Giza-Egypt
481,Junior Performance Marketing Specialist,Dottopia,Agouza Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/xBm2EbNitgtI-Junior-Performance-Marketing-Specialist-Dottopia-Giza-Egypt
482,SEO Specialist,Dottopia,Agouza Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/PRUCmUlBA1Hn-SEO-Specialist-Dottopia-Giza-Egypt
483,HR Specialist,Dottopia,Agouza Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/8MW7GlOFcj7l-HR-Specialist-Dottopia-Giza-Egypt
484,Technical Support Engineer,Softxpert Incorporation,Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/BubKmbKftPmZ-Technical-Support-Engineer-Softxpert-Incorporation-Alexandria-Egypt
485,Zoho developer,Mirrorful,New Cairo Cairo,Egypt,Full Time,Remote,Experienced,https://wuzzuf.net/jobs/p/TbeNtJ2Ntuoy-Zoho-developer-Mirrorful-Cairo-Egypt
486,Media Buyer,Confidential,Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/Sh8WHCvKo0Pt-Media-Buyer-Cairo-Egypt
487,Quality Assurance Engineer,Hammers Motor,Obour City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/QYwXaxHsEdxu-Quality-Assurance-Engineer-Hammers-Motor-Cairo-Egypt
488,French Travel Consultant (Sales),International Organization for E-Tourism Industry IOETI,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/aH3IF56zZU40-French-Travel-Consultant-Sales-International-Organization-for-E-Tourism-Industry-IOETI-Cairo-Egypt
489,Italian Travel Consultant (Sales),International Organization for E-Tourism Industry IOETI,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/exBSYVBrlQFs-Italian-Travel-Consultant-Sales-International-Organization-for-E-Tourism-Industry-IOETI-Cairo-Egypt
490,Purchasing Specialist,Egypro FME,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/XysLqbuZBjV1-Purchasing-Specialist-Egypro-FME-Cairo-Egypt
491,Project Manager,AlGammal Contracting,Cairo,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/hwErOseG9FJg-Project-Manager-AlGammal-Contracting-Cairo-Egypt
492,Customer Service Supervisor,LDN Global Markets,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/kyE3Uy0qP0t6-Customer-Service-Supervisor-LDN-Global-Markets-Cairo-Egypt
493,Warehouse Supervisor,AlGammal Contracting,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/4BR69CMvK49Q-Warehouse-Supervisor-AlGammal-Contracting-Cairo-Egypt
494,Brand Manager (Food and Beverage),Outservingplus,Giza,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/3GuOVI9t2gKa-Brand-Manager-Food-and-Beverage-Outservingplus-Giza-Egypt
495,Purchasing Senior Supervisor,AlGammal Contracting,Cairo,Egypt,Full Time,On-site,Senior Management,https://wuzzuf.net/jobs/p/kkxGBry5h6X6-Purchasing-Senior-Supervisor-AlGammal-Contracting-Cairo-Egypt
496,Senior Organization Development Specialist,Samman Engineering & Consulting,Dokki Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Z8uwqW2pwN2a-Senior-Organization-Development-Specialist-Samman-Engineering-Consulting-Giza-Egypt
497,Customer Support for VF Egypt - Arabic/English Speakers (Males),_VOIS Egypt,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/sJqAnKYvaB9A-Customer-Support-for-VF-Egypt---ArabicEnglish-Speakers-Males-VOIS-Egypt-Cairo-Egypt
498,Customer Service Representative - English Proficient - Alexandria/Cairo,_VOIS Egypt,Cairo,Egypt,Full Time,Hybrid,Entry Level,https://wuzzuf.net/jobs/p/pz8Wjuvz0kEa-Customer-Service-Representative---English-Proficient---AlexandriaCairo-VOIS-Egypt-Cairo-Egypt
499,Executive Secretary,EgAz Pharma,Bolkly Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/mcLGOuPR5ofq-Executive-Secretary-EgAz-Pharma-Alexandria-Egypt
500,Call Center Advisor,Enable,6th of October Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/K7hPvPLWMz8P-Call-Center-Advisor-Enable-Giza-Egypt
501,Social Media Marketing Specialist,Guillam,San Stefano Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/CQ4vJUYobauM-Social-Media-Marketing-Specialist-Guillam-Alexandria-Egypt
502,Digital Marketing Specialist,Guillam,San Stefano Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/aOPEa8ljaWqn-Digital-Marketing-Specialist-Guillam-Alexandria-Egypt
503,Sales Engineer,Target Engineering,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/UuNIOPza75ej-Sales-Engineer-Target-Engineering-Cairo-Egypt
504,Accountant,Target Engineering,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Qcv29oMWn4ou-Accountant-Target-Engineering-Cairo-Egypt
505,Technical Sales Engineer,Carlisle Syntec Middle East,New Capital Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/iK8GdCGuze3O-Technical-Sales-Engineer-Carlisle-Syntec-Middle-East-Cairo-Egypt
506,Production technician - Chemical industry,Confidential,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/f4uW2JEsLZvt-Production-technician---Chemical-industry-Cairo-Egypt
507,HR Operations Business Partner,GEMS Education,New Cairo Cairo,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/pLFlcKbfTd0K-HR-Operations-Business-Partner-GEMS-Education-Cairo-Egypt
508,HR Training specialist,ContrackFM,Downtown Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/EaHyPw4AiQyd-HR-Training-specialist-ContrackFM-Cairo-Egypt
509,MEP Maintenance Engineer_Awinat Project,ContrackFM,New Aswan Aswan,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/VcZu4u5EarcI-MEP-Maintenance-EngineerAwinat-Project-ContrackFM-Aswan-Egypt
510,Accounts Payable Section Head,ContrackFM,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/CeG0qUk0M0Tu-Accounts-Payable-Section-Head-ContrackFM-Cairo-Egypt
511,Senior Officer - HR Business Partner (HRBP),Almosafer,Mohandessin Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/2BnOexokTI1o-Senior-Officer---HR-Business-Partner-HRBP-Almosafer-Giza-Egypt
512,Channel Sales Team Leader - Alexandria (HORECA-B2B),Fine Hygienic Holding,Smouha Alexandria,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/84m6IzPc2xVy-Channel-Sales-Team-Leader---Alexandria-HORECA-B2B-Fine-Hygienic-Holding-Alexandria-Egypt
513,Senior Accountant,EgAz Pharma,Bolkly Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/KGXS7UmTjZAR-Senior-Accountant-EgAz-Pharma-Alexandria-Egypt
514,Personal Assistant,Crafted,Sheikh Zayed Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/HYalnLSCVjFN-Personal-Assistant-Crafted-Giza-Egypt
515,Senior Associate - Corporate & Commercial Department,Mohamed Nasser & Partners Law Firm,Sheikh Zayed Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/va1uwoXJJ7d1-Senior-Associate---Corporate-Commercial-Department-Mohamed-Nasser-Partners-Law-Firm-Giza-Egypt
516,"Head of Commercial, Corporate and M&A",Mohamed Nasser & Partners Law Firm,Sheikh Zayed Giza,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/J9HsTJoF0FlB-Head-of-Commercial-Corporate-and-MA-Mohamed-Nasser-Partners-Law-Firm-Giza-Egypt
517,IT Team leader,Seldar Egypt,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/RKZNENRP89Qc-IT-Team-leader-Seldar-Egypt-Cairo-Egypt
518,Deputy Club Manager - New Minya,Wadi Degla Clubs Company,New Menia Minya,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/MreGfDgQH0De-Deputy-Club-Manager---New-Minya-Wadi-Degla-Clubs-Company-Minya-Egypt
519,Social Media and Admin Manager,Newbrickz,London,United Kingdom,Full Time,Remote,Manager,https://wuzzuf.net/jobs/p/jOKQYUcn3Yff-Social-Media-and-Admin-Manager-Newbrickz-London-United-Kingdom
520,Sales Consultant,Juliana Group for Real Estate Development,Mohandessin Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/h0aVSVi2lTMC-Sales-Consultant-Juliana-Group-for-Real-Estate-Development-Giza-Egypt
521,Property Advisor,Juliana Group for Real Estate Development,Mohandessin Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/1PdokElF9f0O-Property-Advisor-Juliana-Group-for-Real-Estate-Development-Giza-Egypt
522,QA/QC Senior Engineer,AlGammal Contracting,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/ENhVio3IUrcL-QAQC-Senior-Engineer-AlGammal-Contracting-Cairo-Egypt
523,Full Stack Developer,Viavi Solutions,Maadi Cairo,Egypt,Full Time,Remote,Experienced,https://wuzzuf.net/jobs/p/50ZJX8zvxdyb-Full-Stack-Developer-Viavi-Solutions-Cairo-Egypt
524,Compensation and Benefits Specialist,Eagle Chemicals,6th of October Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/uwBmhNDGuT6s-Compensation-and-Benefits-Specialist-Eagle-Chemicals-Giza-Egypt
525,Electrical Technical Office Engineer,MAX360,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/9adDJnzp3Fid-Electrical-Technical-Office-Engineer-MAX360-Cairo-Egypt
526,HSE Engineer,AlGammal Contracting,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/3IyiPvPwpWWM-HSE-Engineer-AlGammal-Contracting-Cairo-Egypt
527,Planning Engineer,AlGammal Contracting,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/mr9nmhjyUQTE-Planning-Engineer-AlGammal-Contracting-Cairo-Egypt
528,Planning Specialist,Al Watania Poultry,Smart Village Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/lXalQ07G9izX-Planning-Specialist-Al-Watania-Poultry-Giza-Egypt
529,Senior Interior Designer,Scope IMS,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/kjB5RptCbwFo-Senior-Interior-Designer-Scope-IMS-Cairo-Egypt
530,Account Executive,Scope IMS,New Cairo Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/uJ8jLac6alM0-Account-Executive-Scope-IMS-Cairo-Egypt
531,Blender 3D artist,TechJump,Alexandria,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/YUNvmLGQ1aVp-Blender-3D-artist-TechJump-Alexandria-Egypt
532,senior Sales Account Manager,Cloud Arch Technologies,Pittsburgh,United States,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/8KUY7SvAbaE4-senior-Sales-Account-Manager-Cloud-Arch-Technologies-Pittsburgh-United-States
533,iOS Developer,Cloud Arch Technologies,Cairo,Egypt,Part Time,Remote,Experienced,https://wuzzuf.net/jobs/p/b9ww6KuZrvsl-iOS-Developer-Cloud-Arch-Technologies-Cairo-Egypt
534,Android Developer,Cloud Arch Technologies,Cairo,Egypt,Part Time,Remote,Experienced,https://wuzzuf.net/jobs/p/OdYfiVjVbS13-Android-Developer-Cloud-Arch-Technologies-Cairo-Egypt
535,Cloud Infrastructure Engineer,Cloud Arch Technologies,Cairo,Egypt,Part Time,Remote,Experienced,https://wuzzuf.net/jobs/p/14VXJvDI4ySU-Cloud-Infrastructure-Engineer-Cloud-Arch-Technologies-Cairo-Egypt
536,UI UX Designer,Cloud Arch Technologies,Cairo,Egypt,Part Time,Remote,Experienced,https://wuzzuf.net/jobs/p/sy093VnFuIjX-UI-UX-Designer-Cloud-Arch-Technologies-Cairo-Egypt
537,Senior Mechanical Site Engineer,Rowad Modern Engineering,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Bi343w8JH40m-Senior-Mechanical-Site-Engineer-Rowad-Modern-Engineering-Cairo-Egypt
538,Medical Representative,spire pharma,Cairo,Egypt,Full Time,Hybrid,Entry Level,https://wuzzuf.net/jobs/p/fOGVfX4pLdtK-Medical-Representative-spire-pharma-Cairo-Egypt
539,Senior Maintenance Engineer-Alexandria,Egyptian Abrasives Co.,Bourj Alarab Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Sgdtb00B6XgJ-Senior-Maintenance-Engineer-Alexandria-Egyptian-Abrasives-Co-Alexandria-Egypt
540,Accountant (1+ Years Experience),Ultrametal,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Yp8hXPLiukSQ-Accountant-1-Years-Experience-Ultrametal-Cairo-Egypt
541,Foreign Purchasing Specialist,Confidential,Bab Sharq Alexandria,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/H66qSL9Myk8f-Foreign-Purchasing-Specialist-Alexandria-Egypt
542,Quality Assurance Specialist,Confidential,Bourj Alarab Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/wYWZdbi04xcH-Quality-Assurance-Specialist-Alexandria-Egypt
543,Sales Engineer - (Steel),International Trade Office,Bourj Alarab Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/CRsayd76lKCQ-Sales-Engineer---Steel-International-Trade-Office-Alexandria-Egypt
544,HR Specialist,International Trade Office,Bab Sharq Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/p0KLrIyR401I-HR-Specialist-International-Trade-Office-Alexandria-Egypt
545,Social Media Manager,CosmoCare Group,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/XG7kFxn2zdEv-Social-Media-Manager-CosmoCare-Group-Cairo-Egypt
546,Senior Electrical QC Engineer,Rowad Modern Engineering,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/we6xhO6w3jFd-Senior-Electrical-QC-Engineer-Rowad-Modern-Engineering-Cairo-Egypt
547,Front Desk Agent (Nasr city branch),SYE English Community,Nasr City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/A2XGaNkYZUsh-Front-Desk-Agent-Nasr-city-branch-SYE-English-Community-Cairo-Egypt
548,Secretary,Mirage Real Estate,Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/7Ql3QOl5cq0J-Secretary-Mirage-Real-Estate-Giza-Egypt
549,HR Manager,Mirage Real Estate,Giza,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/nl2AZDfu5JxN-HR-Manager-Mirage-Real-Estate-Giza-Egypt
550,HR Specialist,Grouhy,Downtown Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/C6q6E3XURiMW-HR-Specialist-Grouhy-Cairo-Egypt
551,Construction Project Management Consultant,Mirage Real Estate,Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/YereA1yTUZr8-Construction-Project-Management-Consultant-Mirage-Real-Estate-Giza-Egypt
552,Senior Procurement Specialist,Egyptian Packaging and Plastic Systems Corp,Manial Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/8m3h3awO9Uo5-Senior-Procurement-Specialist-Egyptian-Packaging-and-Plastic-Systems-Corp-Cairo-Egypt
553,Senior Talent Acquisition Specialist,Egyptian Packaging and Plastic Systems Corp,Manial Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/DUW4mr8NznIx-Senior-Talent-Acquisition-Specialist-Egyptian-Packaging-and-Plastic-Systems-Corp-Cairo-Egypt
554,Foreign Logistics Specialist,Egyptian Packaging and Plastic Systems Corp,Manial Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/2aRSDKOljogC-Foreign-Logistics-Specialist-Egyptian-Packaging-and-Plastic-Systems-Corp-Cairo-Egypt
555,Site Planning Section Head,DME Holding,New Cairo Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Vh4GwuxW6Kj7-Site-Planning-Section-Head-DME-Holding-Cairo-Egypt
556,Software Engineer,1D Consulting,Sheikh Zayed Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/5E5mQKoEjL6x-Software-Engineer-1D-Consulting-Giza-Egypt
557,Video Editor (Blender Specialist),TechJump,Alexandria,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/OMi8INVhqulL-Video-Editor-Blender-Specialist-TechJump-Alexandria-Egypt
558,Control Engineer,Target Engineering,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/yVXlXXycZXhk-Control-Engineer-Target-Engineering-Cairo-Egypt
559,Senior Full Stack .NET Developer,Tafeel,Nasr City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/3iNP5gbBLWDH-Senior-Full-Stack-NET-Developer-Tafeel-Cairo-Egypt
560,Project Management Engineer,FinBi Finance & Banking Consultants International,Dokki Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Cehfj0bw81xN-Project-Management-Engineer-FinBi-Finance-Banking-Consultants-International-Giza-Egypt
561,Payroll & Personnel Specialist,MSC – MEDITERRANEAN SHIPPING AGENCY EGY,Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/dtWInKFPKAzY-Payroll-Personnel-Specialist-MSC-%E2%80%93-MEDITERRANEAN-SHIPPING-AGENCY-EGY-Alexandria-Egypt
562,Commercial & Administrative Executive,mavericks power,Dokki Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/TSlojsTG6HpZ-Commercial-Administrative-Executive-mavericks-power-Giza-Egypt
563,Graphic Designer,Sync,Nablus,Palestine,Full Time,Remote,Entry Level,https://wuzzuf.net/jobs/p/sAZNOl7Pu4T1-Graphic-Designer-Sync-Nablus-Palestine
564,Operation And Maintenance Engineer,alfanar,Riyadh,Saudi Arabia,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/ZqWdA0bS5ZpT-Operation-And-Maintenance-Engineer-alfanar-Riyadh-Saudi-Arabia
565,Treasury Accountant,Kasrawy Group,Abu Rawash Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/L131H2dfGfxn-Treasury-Accountant-Kasrawy-Group-Giza-Egypt
566,Workshop Engineer,National Company For Maize Products,10th of Ramadan City Sharqia,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/0lUaMnwFvWyk-Workshop-Engineer-National-Company-For-Maize-Products-Sharqia-Egypt
567,Network And Security Engineer,Aman,Maadi Cairo,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/eimylY4iBHjA-Network-And-Security-Engineer-Aman-Cairo-Egypt
568,Testing And Commissioning Engineer,alfanar,Riyadh,Saudi Arabia,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/pXg2Hu86T144-Testing-And-Commissioning-Engineer-alfanar-Riyadh-Saudi-Arabia
569,Inside Sales Representatives,Eden,Heliopolis Cairo,Egypt,Internship,On-site,Entry Level,https://wuzzuf.net/internship/r3KhXE6TjHTK-Inside-Sales-Representatives-Eden-Cairo-Egypt
570,Part-Time Event & Sponsorship Specialist (3 month Opportunity),Eden,Heliopolis Cairo,Egypt,Internship,Hybrid,Student,https://wuzzuf.net/internship/MrWLRhGLB28E-Part-Time-Event-Sponsorship-Specialist-3-month-Opportunity-Eden-Cairo-Egypt
571,Mechanical Maintenance Engineer,Hayat,Ain Sokhna Suez,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/Puhh1mSLh5lE-Mechanical-Maintenance-Engineer-Hayat-Suez-Egypt
572,Stock Controller,GB Corp,Abu Rawash Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/aUG2aQHdgvyD-Stock-Controller-GB-Corp-Giza-Egypt
573,Stock Control Supervisor,GB Corp,Abu Rawash Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/pX82Z8DBgAzh-Stock-Control-Supervisor-GB-Corp-Giza-Egypt
574,Property Consultant,Platinum Properties for real estate services,New Cairo Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/q4KqzspIwYZX-Property-Consultant-Platinum-Properties-for-real-estate-services-Cairo-Egypt
575,Senior Recruitment Specialist,CosmoCare Group,New Cairo Cairo,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/DNw6iAANwN6f-Senior-Recruitment-Specialist-CosmoCare-Group-Cairo-Egypt
576,Continuous Improvement Engineer,National Company For Maize Products,10th of Ramadan City Sharqia,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/d7NTcq3KMnD1-Continuous-Improvement-Engineer-National-Company-For-Maize-Products-Sharqia-Egypt
